Denmark, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 29/04/2022
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
2006     1.846     0.815     0.679     0.260     0.065     0.026     1.802     0.806     0.666     0.248     0.059     0.022
2007     1.843     0.819     0.674     0.261     0.063     0.026     1.796     0.809     0.660     0.249     0.058     0.021
2008     1.888     0.842     0.687     0.267     0.065     0.027     1.838     0.831     0.670     0.255     0.060     0.022
2009     1.840     0.827     0.676     0.251     0.061     0.025     1.788     0.815     0.660     0.239     0.054     0.020
2010     1.871     0.840     0.689     0.258     0.060     0.025     1.819     0.827     0.673     0.246     0.053     0.020
2011     1.753     0.781     0.666     0.230     0.054     0.022     1.700     0.769     0.649     0.218     0.048     0.017
2012     1.730     0.765     0.657     0.233     0.053     0.022     1.676     0.751     0.639     0.221     0.047     0.017
2013     1.669     0.745     0.632     0.222     0.050     0.020     1.615     0.733     0.612     0.209     0.045     0.016
2014     1.692     0.755     0.643     0.222     0.051     0.020     1.634     0.741     0.624     0.208     0.046     0.016
2015     1.714     0.769     0.649     0.226     0.050     0.020     1.656     0.755     0.629     0.212     0.044     0.015
2016     1.786     0.818     0.653     0.244     0.052     0.019     1.725     0.802     0.633     0.229     0.046     0.015
2017     1.753     0.803     0.644     0.235     0.050     0.021     1.687     0.785     0.622     0.220     0.043     0.016
2018     1.731     0.783     0.647     0.230     0.051     0.019     1.662     0.765     0.624     0.214     0.045     0.015
2019     1.700     0.766     0.651     0.220     0.046     0.017     1.632     0.748     0.627     0.204     0.040     0.013
2020     1.676     0.741     0.657     0.216     0.046     0.016     1.607     0.722     0.633     0.200     0.040     0.012
2021     1.725     0.743     0.685     0.233     0.049     0.016     1.651     0.723     0.658     0.216     0.042     0.012
